archivo,cuadro,documento,ubicacion,tier,nota
macro_marco.csv,C1.1,CGPE 2025,"Anexo II.5, p. 81",oficial_primaria,Leído de página renderizada a 150 dpi: el CGPE 2025 no tiene capa de texto (90 de 91 páginas son imagen).
macro_medianoplazo.csv,C1.2,CGPE 2025,"Anexo III.1, p. 84",oficial_primaria,Leído de página renderizada a 150 dpi: el CGPE 2025 no tiene capa de texto (90 de 91 páginas son imagen). 2023 son datos observados.
finanzas_publicas.csv,C4.1 y C12.1,CGPE 2025,"Anexo II.6, p. 82",oficial_primaria,Leído de página renderizada a 150 dpi: el CGPE 2025 no tiene capa de texto (90 de 91 páginas son imagen). La columna % del PIB de 2024 aprobado usa el PIB estimado en el CGPE 2024.
perspectivas_2024_2030.csv,C1.2 y C12.2,CGPE 2025,"Anexo III.2, p. 85",oficial_primaria,"Leído de página renderizada a 150 dpi: el CGPE 2025 no tiene capa de texto (90 de 91 páginas son imagen). Todo en % del PIB. Signo (+) superavit, (-) deficit."
gasto_ramos.csv,C4.2,Analiticos del PEF aprobado 2024 y 2025,"ac01_ra_pp_ur_og / ac01_ra_f_ur_og y sus versiones _efe, hoja Hoja1",oficial_primaria,"PEF aprobado, no proyecto. Deflactor 1.043 (CGPE 2025 Anexo II.5). dif_real en pesos de 2025. Agrupado por NUMERO de ramo, no por nombre: el Ramo 38 cambia de nombre entre 2024 y 2025 y agruparlo por nombre inventa una variacion de 100 % que no existe."
gasto_entidades.csv,C4.2b,Analiticos del PEF aprobado 2024 y 2025,"ac01_ra_pp_ur_og / ac01_ra_f_ur_og y sus versiones _efe, hoja Hoja1",oficial_primaria,"PEF aprobado, no proyecto. Deflactor 1.043 (CGPE 2025 Anexo II.5). dif_real en pesos de 2025."
gasto_tipo.csv,C4.3a,Analiticos del PEF aprobado 2024 y 2025,"ac01_ra_pp_ur_og / ac01_ra_f_ur_og y sus versiones _efe, hoja Hoja1",oficial_primaria,"PEF aprobado, no proyecto. Deflactor 1.043 (CGPE 2025 Anexo II.5). dif_real en pesos de 2025. Etiquetas de TG adjudicadas contra las partidas especificas dominantes de cada codigo, no supuestas. Solo Gobierno Federal."
gasto_capitulo.csv,C4.3b,Analiticos del PEF aprobado 2024 y 2025,"ac01_ra_pp_ur_og / ac01_ra_f_ur_og y sus versiones _efe, hoja Hoja1",oficial_primaria,"PEF aprobado, no proyecto. Deflactor 1.043 (CGPE 2025 Anexo II.5). dif_real en pesos de 2025. Capitulo = primer digital de la partida especifica (PE). Solo GF."
gasto_funcional.csv,C4.4,Analiticos del PEF aprobado 2024 y 2025,"ac01_ra_pp_ur_og / ac01_ra_f_ur_og y sus versiones _efe, hoja Hoja1",oficial_primaria,"PEF aprobado, no proyecto. Deflactor 1.043 (CGPE 2025 Anexo II.5). dif_real en pesos de 2025. Clave = finalidad.funcion. Solo Gobierno Federal, bruto."
diffs_2024_2025.csv,C4.6,Analiticos del PEF aprobado 2024 y 2025,"ac01_ra_pp_ur_og / ac01_ra_f_ur_og y sus versiones _efe, hoja Hoja1",oficial_primaria,"PEF aprobado, no proyecto. Deflactor 1.043 (CGPE 2025 Anexo II.5). dif_real en pesos de 2025. Se anticipan, no se descubren: un codigo que aparece o desaparece produce una variacion contable que no es presupuestal."
