orden,id,pieza,metodo,url_probada,http,content_type,veredicto,fecha_sonda,nota
1,gaceta_indice,paquete completo,GET,https://gaceta.diputados.gob.mx/Gaceta/66/2025/sep/20250908.html,206,text/html,responde,2026-09-07,"PRIMERA PARADA. Índice del día de la entrega; los anexos cuelgan de él. URLs estables y archivo histórico. En 2026 fueron doce anexos, A-L."
2,gaceta_ilif,ILIF,GET,https://gaceta.diputados.gob.mx/PDF/66/2025/sep/20250908-A.pdf,206,application/pdf,responde,2026-09-07,Anexo A. CONTIENE SU PROPIA EXPOSICIÓN DE MOTIVOS: no la busques aparte. 240 pp en 2026.
3,gaceta_ppef,"PPEF, proyecto de decreto",GET,https://gaceta.diputados.gob.mx/PDF/66/2025/sep/20250908-B.pdf,206,application/pdf,responde,2026-09-07,Anexo B. SOLO EL DECRETO: la exposición de motivos del PPEF no viene aquí ni en la Gaceta. 194 pp en 2026.
4,gaceta_cgpe,CGPE,GET,https://gaceta.diputados.gob.mx/PDF/66/2025/sep/20250908-C.pdf,206,application/pdf,responde,2026-09-07,Anexo C.
5,gaceta_miscelanea,miscelánea fiscal,GET,https://gaceta.diputados.gob.mx/PDF/66/2025/sep/20250908-D.pdf,206,application/pdf,responde,2026-09-07,"En 2026: D = Ley Federal de Derechos, E = IEPS, F = Código Fiscal, G = informe arancelario del art. 131. LAS LETRAS NO SON FIJAS: léelas del índice, no las supongas."
6,analitico_p_gf_prog,analítico proyecto GF ramo-programa-UR-objeto,GET,https://www.pef.hacienda.gob.mx/work/models/PEF/Analiticos_Historico/2026/Proyecto/ac01_ra_pp_ur_og.xlsx,206,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,responde,2026-09-07,"Datos en la hoja «Hoja1», NO en la primera, que es una carátula de 45 filas por ramo. Código de programa = MOD[0] + PP[:3]."
7,analitico_p_gf_func,analítico proyecto GF ramo-función-UR-objeto,GET,https://www.pef.hacienda.gob.mx/work/models/PEF/Analiticos_Historico/2026/Proyecto/ac01_ra_f_ur_og.xlsx,206,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,responde,2026-09-07,"F y FN vienen como texto con nombre («2 Desarrollo Social»); en los cortes por programa, como número."
8,analitico_p_ef_prog,analítico proyecto entidades ramo-programa,GET,https://www.pef.hacienda.gob.mx/work/models/PEF/Analiticos_Historico/2026/Proyecto/ac01_ra_pp_ur_og_efe.xlsx,206,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,responde,2026-09-07,
9,analitico_p_ef_func,analítico proyecto entidades ramo-función,GET,https://www.pef.hacienda.gob.mx/work/models/PEF/Analiticos_Historico/2026/Proyecto/ac01_ra_f_ur_og_efe.xlsx,206,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,responde,2026-09-07,
10,ckan_ppef,catálogo: dónde está el PPEF en datos abiertos,GET,https://www.datos.gob.mx/api/3/action/package_search?q=PPEF&rows=20,206,application/json;charset=utf-8,responde,2026-09-07,"datos.gob.mx REDIRIGE 308 a www.datos.gob.mx: usa -L o el host con www. Sin User-Agent de navegador, Akamai responde 403."
11,atdt_ppef,"PPEF por clave (partida, cartera, entidad)",GET,https://repodatos.atdt.gob.mx/api_update/secretaria_hacienda/proyecto_presupuesto_egresos_federacion/PPEF_2026.csv,206,text/csv,responde,2026-09-07,"RANURA ÚNICA. Trae partida específica, clave de cartera y entidad federativa, que los xlsx no traen. Los años anteriores devuelven 503, verificado: PPEF_2025.csv ya no existe. LO QUE NO SE DESCARGUE ESE DÍA DESAPARECE."
12,atdt_transversales,anexos transversales por programa,GET,https://repodatos.atdt.gob.mx/api_update/secretaria_hacienda/analitico_plazas_remuneraciones_apf_ppef/anexos_transversales_ppef2026.csv,206,text/csv,responde,2026-09-07,"RANURA ÚNICA, misma advertencia. Es la única fuente del etiquetado transversal desglosado; sin ella no hay capítulo de anexos."
13,atdt_plazas,analítico de plazas y remuneraciones,GET,https://repodatos.atdt.gob.mx/api_update/secretaria_hacienda/analitico_plazas_remuneraciones_apf_ppef/analitico_plazas_apf_PPEF.csv,206,text/csv,responde,2026-09-07,RANURA ÚNICA sin año en el nombre: se sobrescribe en silencio.
14,analitico_a_gf_prog,"analítico APROBADO t-1, GF ramo-programa",GET,https://www.pef.hacienda.gob.mx/work/models/PEF/Analiticos_Historico/2025/Autorizado/ac01_ra_pp_ur_og.xlsx,206,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,responde,2026-09-07,Para la línea de comparación G (proyecto contra aprobado). Descargable ANTES de la entrega: no depende del paquete.
15,analitico_a_ef_prog,"analítico APROBADO t-1, entidades ramo-programa",GET,https://www.pef.hacienda.gob.mx/work/models/PEF/Analiticos_Historico/2025/Autorizado/ac01_ra_pp_ur_og_efe.xlsx,206,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,responde,2026-09-07,
16,shcp_cgpe,CGPE (respaldo),GET,https://www.finanzaspublicas.hacienda.gob.mx/work/models/Finanzas_Publicas/docs/paquete_economico/cgpe/cgpe_2026.pdf,206,application/pdf,responde,2026-09-07,"Patrón estable 2018-2026. Respaldo de la Gaceta, no primera parada."
17,shcp_ilif,ILIF (respaldo),GET,https://www.finanzaspublicas.hacienda.gob.mx/work/models/Finanzas_Publicas/docs/paquete_economico/ilif/ilif_2026.pdf,206,application/pdf,responde,2026-09-07,Patrón estable 2018-2026.
18,conapo_pob,CONAPO población a mitad de año 1950-2070,GET,https://repodatos.atdt.gob.mx/CONAPO/proyecciones/00_Pob_Mitad_1950_2070.csv,206,text/csv,responde,2026-09-07,45 MB. Edad simple x sexo x entidad x año. NO depende del paquete: descargar antes.
19,conapo_ind,CONAPO indicadores demográficos 1950-2070,GET,https://repodatos.atdt.gob.mx/CONAPO/proyecciones/05_Indicadores_demograficos_proyecciones.csv,206,text/csv,responde,2026-09-07,"TGF, esperanza de vida, tasas. Si falla, el mismo recurso vive bajo www.datos.gob.mx/dataset/f2b9b220-.../download/."
20,issste_padron,"ISSSTE, padrón de derechohabientes activos",GET,https://www.datos.gob.mx/api/3/action/package_search?q=padron_derechohabientes_activos&rows=3,206,application/json;charset=utf-8,responde,2026-09-07,"HALLAZGO 2026-09-07: el padrón del ISSSTE SÍ está en el catálogo nacional, mensual, org «issste». Era una de las carencias de la corrida 2026."
21,imssb_padron,"IMSS-Bienestar, personas sin seguridad social",GET,https://www.datos.gob.mx/api/3/action/package_search?q=personas_sin_seguridad_social&rows=3,206,application/json;charset=utf-8,responde,2026-09-07,"Trimestral, org «imss-bienestar». Cobertura parcial: en 2T2025 eran 23 entidades, no las 32. Declararlo siempre."
22,sep_matricula,"SEP, matrícula por tipo y nivel educativo",POST,https://www.planeacion.sep.gob.mx/principalescifras/,n/a,n/a,SONDA MANUAL — ver demografia.py,2026-09-07,"HALLAZGO 2026-09-07: la ruta que faltaba en 2026. ASP.NET WebForms con __VIEWSTATE: hay que GET la página, conservar los campos ocultos y POSTear. Los desplegables son en cascada. Lo hace `demografia.py`. Ciclo 2025-2026 disponible; fuente, Formato 911."
23,imss_datos,"IMSS, asegurados",GET,http://datos.imss.gob.mx/sites/default/files/asg-2026-07-31.csv,200,text/csv,responde,2026-09-07,"RESUELTA el 2026-09-07. Tres cosas que costaron la búsqueda: (1) el host va por HTTP; https:// devuelve 503. (2) El portal es DRUPAL, no CKAN: /api/3/action/package_search devuelve HTML y por eso la sonda anterior lo dio por muerto. (3) El catálogo nacional NO tiene esta serie. La ruta del archivo mensual es estable desde 1997: http://datos.imss.gob.mx/sites/default/files/asg-AAAA-MM-DD.csv, con la fecha del último día del mes; el índice está en /dataset/asg-AAAA. Pesa unos 400 MB, viene separado por barra vertical y en latin-1; se agrega y se borra. ASEGURADOS NO ES DERECHOHABIENTES."
24,transparencia,Transparencia Presupuestaria (último recurso),GET,https://www.transparenciapresupuestaria.gob.mx/es/PTP/Datos_Abiertos,200,text/html;charset=ISO-8859-1,responde,2026-09-07,Comparte la cadena TLS rota de la SHCP; el mismo bundle la arregla. Devuelve cáscara JS sin un solo enlace a archivo. No esperes nada de aquí.
25,analitico_p_historico,"analíticos del PROYECTO de ejercicios anteriores",GET,https://www.pef.hacienda.gob.mx/work/models/PEF/Analiticos_Historico/2022/Proyecto/ac01_ra_pp_ur_og.xlsx,200,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,responde,2026-09-07,"HALLAZGO 2026-09-07: la misma ruta /Proyecto/ sirve los CUATRO cortes de 2021, 2022 y 2023, que faltaban en carpeta. Con eso la LÍNEA P deja de tener dos puntos y pasa a siete (2020-2026), y la serie ex ante de pensiones IMSS se DESCONGELA sin necesidad de la exposición de motivos del PPEF, que era lo que se creía que hacía falta. Descargable antes de la entrega: no depende del paquete del año."
